run_label,timestamp_utc,stage,status,size_MB,input_bytes,source_repeats,epoch,repeat,runtime_s,energy_kWh,cpu_kWh,gpu_kWh,ram_kWh,cpu_power_W,gpu_power_W,ram_power_W,emissions_kgCO2eq,energy_kWh_per_GB,emissions_kgCO2eq_per_GB,MB_per_s,train_bpp,val_bpp,val_ratio_est,cum_train_energy_kWh,cum_train_emissions_kgCO2eq,compressed_bytes,compression_ratio,bits_per_byte,roundtrip_ok,total_epochs,seq_len,batch_size,lr,chunk_bytes,gpu_streams,backbone,d_model,num_layers,precision,codec_device,codec_gpus,worker_max_s,cpu_model,cpu_count,gpu_model,gpu_count,ram_total_size,os,python_version,codecarbon_version,tracking_mode,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,torch_version,cuda_version,device,gpu_name
v100x4,2026-09-09T07:50:46+00:00,idle,ok,0.0,0,,,,30.000757983885705,0.0026426895353666,0.0008548560490262,0.0014385728175625,0.0003492606687778,102.40000011891615,173.39658885304314,42.0,0.0006278739640182,,,,,,,0.0,0.0,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:51:38+00:00,compression,ok,10.0,10000000,0.2003205128205128,3.0,1.0,5.662762999534607,0.0006456208909175,0.0001623167232943,0.0004174845006446,6.581966697859268e-05,102.42277313097144,262.57251889807014,42.0,0.0001533924218521,0.06456208909175,0.0153392421852198,1.76592239527274,,,,0.0017000394498585,0.0004039106728524,3172497.0,3.1520912391721727,2.5379976,True,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,5.658,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:51:38+00:00,decompression,ok,10.0,10000000,0.2003205128205128,3.0,1.0,5.4401366552338,0.0006220045925931,0.000155531342675,0.000403215600329,6.325764958901952e-05,102.4225478656,269.4235836702211,42.0,0.0001477814491496,0.0622004592593175,0.014778144914962,1.838189117984616,,,,0.0017000394498585,0.0004039106728524,3172497.0,3.1520912391721727,2.5379976,True,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,5.439,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:50:52+00:00,training_epoch,ok,10.0,10000000,0.2003205128205128,1.0,,5.251156618818641,0.0006166586366231,0.0001505946434361,0.0004050006018303,6.106339135672897e-05,102.40023790445716,268.454663020202,42.0,0.0001465113088166,0.0616658636623181,0.0146511308816665,1.9043423622450844,3.603336256190849,2.957095169565725,2.705357636891636,0.0006166586366231,0.0001465113088166,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:50:56+00:00,training_epoch,ok,10.0,10000000,0.2003205128205128,2.0,,4.343384533189237,0.000540537914936,0.0001245759398271,0.0003654455701678,5.051640494105717e-05,102.40044590080002,286.78770451896395,42.0,0.0001284258626717,0.054053791493602,0.0128425862671734,2.302351984630118,2.8015827737038537,2.686111238879957,2.978283208902325,0.0011571965515592,0.0002749371714883,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:51:01+00:00,training_epoch,ok,10.0,10000000,0.2003205128205128,3.0,,4.342954056337476,0.0005428428982993,0.0001247031086426,0.0003676161274341,5.052366222254932e-05,102.4004718592,287.31661459700774,42.0,0.000128973501364,0.0542842898299339,0.0128973501364041,2.3025801954794924,2.5990492967244263,2.5120672211621726,3.184628155093283,0.0017000394498585,0.0004039106728524,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:52:46+00:00,compression,ok,25.0,25000000,0.500801282051282,3.0,1.0,5.348985504359007,0.0007950235353444,0.0001529470279229,0.00057987740837,6.219909905145566e-05,102.42647230171433,374.1098214564028,42.0,0.0001888888467389,0.031800941413777,0.0075555538695578,4.6737834641030425,,,,0.0042025247643033,0.000998473656226,7215335.0,3.464842588736351,2.3089072,True,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,5.339,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:52:46+00:00,decompression,ok,25.0,25000000,0.500801282051282,3.0,1.0,5.71431312058121,0.0008696996718258,0.0001633957178024,0.0006398546785533,6.644927547002833e-05,102.4225723538286,392.3725380104032,42.0,0.0002066310753294,0.0347879868730326,0.0082652430131769,4.374979017155647,,,,0.0042025247643033,0.000998473656226,7215335.0,3.464842588736351,2.3089072,True,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,5.713,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:51:50+00:00,training_epoch,ok,25.0,25000000,0.500801282051282,1.0,,11.203180840238929,0.0014106683378984,0.0003197190241881,0.0009609321576107,0.0001300171560995,102.40043187593848,304.6568323259538,42.0,0.0003351592797329,0.0564267335159369,0.0134063711893179,2.2315091005410235,3.096259791311123,2.6097060372267302,3.065479362764321,0.0014106683378984,0.0003351592797329,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
v100x4,2026-09-09T07:52:02+00:00,training_epoch,ok,25.0,25000000,0.500801282051282,2.0,,11.179768903180957,0.001393803374295,0.0003192497727081,0.0009446582557046,0.0001298953458822,102.4004718592,298.4972235247671,42.0,0.0003311523498953,0.0557521349718019,0.0132460939958154,2.2361821801957644,2.442808801561212,2.3360886909926872,3.424527515092124,0.0028044717121934,0.0006663116296283,,,,,3,10000,5,0.0005,2048,5000,mambav1,64,2,fp32,cuda,4,,"POWER9, altivec supported",128,4 x Tesla V100-SXM2-32GB,4,519.488,Linux-4.18.0-553.143.1.el8_10.ppc64le-ppc64le-with-glibc2.28,3.11.8,3.3.0,machine,United Kingdom,GBR,,,,N,2.1.2,12.2,cuda,Tesla V100-SXM2-32GB
